province;red;green;blue;x;x;old IDs;;;
75;145;146;64;Giugliano;x;121;75;;
76;17;148;128;Salento;x;122;76;;
77;145;150;192;Calabria;x;123;77;;
78;17;152;255;Taormina;x;124;78;;
79;145;154;0;Alcamo;x;125;79;;
80;146;158;128;Sassari;x;127;80;;
81;18;32;192;Unterkarnten;x;128;81;;
82;146;34;255;Krain;x;129;82;;
83;18;36;0;Istria;x;130;83;;
84;146;38;64;Zagreb;x;131;84;;
85;18;40;128;Steiermark;x;132;85;;
86;147;42;192;Linz;x;133;86;;
87;19;44;255;Wien;x;134;87;;
88;147;46;0;Sopron;x;135;88;;
89;19;48;64;Dalmatia;x;136;89;;
90;147;50;128;Orasac;x;137;90;;
91;19;52;192;Zeta;x;138;91;;
92;147;54;255;Hum;x;139;92;;
93;20;56;0;Bosnia;x;140;93;;
94;148;58;64;Smederevo;x;141;94;;
95;20;60;128;Corfu;x;142;95;;
96;148;62;192;Korce;x;143;96;;
97;20;64;255;Janina;x;144;97;;
98;148;66;0;Morea;x;145;98;;
99;20;68;64;Athens;x;146;99;;
100;149;70;128;Tirkala;x;147;100;;
101;21;72;192;Edessa;x;148;101;;
102;149;74;255;Xanthi;x;4705;102;Edirne;149
103;21;76;0;Nikopol;x;150;103;;
104;149;78;64;Syrallo;x;151;104;;
105;21;80;128;Varazdin;x;152;105;;
106;149;82;192;Pest;x;153;106;;
107;22;84;255;Hont;x;154;107;;
108;150;86;0;Bekes;x;155;108;;
109;22;88;64;Temes;x;156;109;;
110;150;90;128;Bihar;x;157;110;X;
111;22;92;192;Transylvania;x;158;111;;
112;150;94;255;Silistria;x;159;112;;
113;22;96;0;Oltenia;x;160;113;;
114;151;98;64;Wallachia;x;161;114;;
115;23;100;128;Carpathia;x;162;115;;
116;151;102;192;Crete;x;163;116;;
117;23;104;255;Naxos;x;164;117;;
118;151;106;0;Bern;x;165;118;;
119;23;108;64;Schwyz;x;166;119;;
120;151;110;128;Caux;x;167;120;;
121;24;112;192;Normandie;x;168;121;;
122;152;114;255;Armor;x;169;122;;
123;24;116;0;Finistere;x;170;123;;
124;152;118;64;Morbihan;x;171;124;;
125;153;126;0;Armagnac;x;175;125;;
126;25;128;64;Bearn;x;176;126;;
127;25;132;192;Anjou;x;178;127;;
128;153;134;255;Berry;x;179;128;;
129;25;136;0;Poitou;x;180;129;;
130;153;138;64;Valenciennes;x;181;130;;
131;26;140;128;Vermandois;x;182;131;;
132;154;142;192;Ile-de-France;x;183;132;;
133;26;144;255;Orleanais;x;184;133;;
134;147;222;218;Nemours;x;185;134;;
135;26;148;64;Champagne;x;186;135;;
136;154;150;128;Barrois;x;187;136;;
137;26;152;192;Metz;x;188;137;;
138;155;154;255;Lothringen;x;189;138;;
139;27;156;0;Bourbon;x;190;139;;
140;155;158;64;Nevers;x;191;140;;
141;27;32;128;Bourgogne;x;192;141;;
142;155;34;192;Franche-Comte;x;193;142;;
143;27;36;255;Perigord;x;194;143;;
144;155;38;0;Limousin;x;195;144;;
145;28;40;64;Toulouse;x;196;145;;
146;156;42;128;Roussillon;x;197;146;;
147;28;44;192;Rouergue;x;198;147;;
148;156;46;255;Auvergne;x;199;148;;
149;28;248;0;Languedoc;x;200;149;;
150;156;50;64;Toulon;x;201;150;;
151;28;52;128;Cephalonia;x;4698;151;Avignon;202
152;157;54;192;Lyonnais;x;203;152;;
153;29;56;255;Dauphine;x;204;153;;
154;157;58;0;Savoie;x;205;154;;
155;29;60;64;Galicia;x;206;155;;
156;157;62;128;Asturias;x;207;156;;
157;29;64;192;Leon;x;208;157;;
158;157;66;255;Vizcaya;x;209;158;;
159;30;68;0;Navarra;x;210;159;;
160;158;70;64;Pirineo;x;211;160;;
161;30;72;128;Girona;x;212;161;;
162;158;74;192;Barcelona;x;213;162;;
163;30;76;255;Zaragoza;x;214;163;;
164;158;78;0;Castilla La Vieja;x;215;164;;
165;30;80;64;Salamanca;x;216;165;;
166;159;82;128;Madrid;x;217;166;;
167;31;84;192;Badajoz;x;218;167;;
168;159;86;255;Toledo;x;219;168;;
169;31;88;0;Valencia;x;220;169;;
170;159;90;64;Murcia;x;221;170;;
171;31;92;128;Almeria;x;222;171;;
172;159;94;192;Granada;x;223;172;;
173;160;98;0;Cordoba;x;225;173;;
174;32;100;64;Foix;x;4694;174;Gibraltar;226
175;160;102;128;Lisboa;x;227;175;;
176;32;104;192;Beira;x;228;176;;
177;160;106;255;Beja;x;229;177;;
178;32;108;0;Algarve;x;230;178;;
179;161;110;64;Porto;x;231;179;;
180;33;112;128;Braganca;x;232;180;;
181;166;203;93;Cornwall;x;233;181;;
182;33;116;255;Wessex;x;234;182;;
183;33;120;64;London;x;236;183;;
184;161;122;128;Oxfordshire;x;237;184;;
185;162;126;255;Gloucestershire;x;239;185;;
186;34;128;0;Shrewsbury;x;240;186;;
187;162;130;64;Glamorgan;x;241;187;;
188;34;132;128;Gwynedd;x;242;188;;
189;34;136;255;Lancashire;x;244;189;;
190;163;138;0;Yorkshire;x;245;190;;
191;35;140;64;Northumberland;x;246;191;;
192;163;142;128;Cumbria;x;247;192;;
193;35;144;192;Lothian;x;248;193;;
194;163;146;255;Ayrshire;x;249;194;;
195;35;148;0;Perth;x;250;195;;
196;163;150;64;Aberdeen;x;251;196;;
197;36;152;128;Inverness;x;252;197;;
198;164;154;192;Outer Hebrides;x;253;198;;
199;164;158;0;Kalisz;x;255;199;;
200;36;32;64;Plock;x;256;200;;
201;164;34;128;Mazovia;x;257;201;;
202;36;36;192;Lodz;x;258;202;;
203;165;38;255;Sandomir;x;259;203;;
204;37;40;0;Galicien;x;260;204;;
205;165;42;64;Halicz;x;261;205;;
206;37;44;128;Krakow;x;262;206;;
207;165;46;192;Ratibor;x;263;207;;
208;37;48;255;Breslau;x;264;208;;
209;165;50;0;Moravia;x;265;209;;
210;38;52;64;Bohemia;x;266;210;;
211;166;54;128;Plsen;x;267;211;;
212;38;56;192;Bessarabia;x;268;212;;
213;166;58;255;Podlasia;x;269;213;;
214;38;60;0;Troki;x;270;214;;
215;166;62;64;Samogitia;x;271;215;;
216;38;64;128;Lithuania;x;272;216;;
217;167;66;192;Letgallen;x;273;217;;
218;39;68;255;Pskov;x;274;218;;
219;167;70;0;Polotsk;x;275;219;;
220;39;72;64;Minsk;x;276;220;;
221;167;74;128;Grodno;x;277;221;;
222;39;76;192;Polesia;x;278;222;;
223;167;78;255;Volhynia;x;279;223;;
224;40;80;0;Kiev;x;280;224;;
225;168;82;64;Podolia;x;281;225;;
226;40;84;128;Yedisan;x;282;226;;
227;168;86;192;Zaporozhia;x;283;227;;
228;41;96;192;Cherkassk;x;288;228;;
229;169;98;255;Chernigov;x;289;229;;
230;41;100;0;Poltava;x;290;230;;
231;169;102;64;Kharkov;x;291;231;;
232;41;104;128;Mogilyov;x;292;232;;
233;169;106;192;Smolensk;x;293;233;;
234;42;108;255;Tver;x;294;234;;
235;170;110;0;Moskva;x;295;235;;
236;42;112;64;Kaluga;x;296;236;;
237;74;227;77;Bryansk;x;297;237;;
238;42;116;192;Kursk;x;298;238;;
239;170;118;255;Voronezh;x;299;239;;
240;42;120;0;Tula;x;300;240;;
241;171;122;64;Ryazan;x;301;241;;
242;43;124;128;Tambow;x;302;242;;
243;171;126;192;Saratow;x;303;243;;
244;43;128;255;Pensa;x;304;244;;
245;171;130;0;Perm;x;305;245;;
246;43;132;64;Nijni-Novgorod;x;306;246;;
247;171;134;128;Vladimir;x;307;247;;
248;44;136;192;Yaroslavl;x;308;248;;
249;172;138;255;Olonets;x;309;249;;
250;44;144;128;Vologda;x;312;250;;
251;44;148;255;Ustyug;x;314;251;;
252;173;150;0;Finnmark;x;315;252;;
253;45;152;64;Kocaeli;x;316;253;;
254;173;154;128;Hudavendigar;x;317;254;;
255;45;156;192;Sugla;x;318;255;;
256;173;158;255;Mentese;x;319;256;;
257;45;32;0;Rhodes;x;320;257;;
258;173;34;64;Cyprus;x;321;258;;
259;46;36;128;Kutaya;x;322;259;;
260;174;38;192;Konya;x;323;260;;
261;46;40;255;Karaman;x;324;261;;
262;174;42;0;Kastamonu;x;325;262;;
263;46;44;64;Ankara;x;326;263;;
264;174;46;128;Adana;x;327;264;;
265;46;48;192;Sinop;x;328;265;;
266;175;50;255;Sivas;x;329;266;;
267;47;52;0;Trebizond;x;330;267;;
268;175;54;64;Erzurum;x;331;268;;
269;47;56;128;Marash;x;332;269;;
270;175;58;192;The Baleares;x;333;270;;
271;47;60;255;Tangiers;x;334;271;;
272;175;62;0;Mellila;x;335;272;;
273;48;244;64;Tlemcen;x;336;273;;
274;176;66;128;Oran;x;337;274;;
275;48;68;192;Al-Djazair;x;338;275;;
276;176;70;255;Kabylia;x;339;276;;
277;48;72;0;Constantine;x;340;277;;
278;176;74;64;Tunis;x;341;278;;
279;48;76;128;Toubkhal;x;342;279;;
280;177;78;192;Fez;x;343;280;;
281;49;80;255;Marrakech;x;344;281;;
282;177;82;0;Safi;x;345;282;;
283;49;84;64;Figuig;x;346;283;;
284;177;86;128;Ifni;x;347;284;;
285;49;88;192;Sus;x;348;285;;
286;177;90;255;Atlas;x;349;286;;
287;50;92;0;Aures;x;350;287;;
288;50;96;128;Gafsa;x;352;288;;
289;178;98;192;Tataouine;x;353;289;;
290;50;100;255;Tripolitania;x;354;290;;
291;178;102;0;Sirt;x;355;291;;
292;50;104;64;Cyrenaica;x;356;292;;
293;179;106;128;Darnah;x;357;293;;
294;51;112;0;Qus;x;360;294;;
295;179;114;64;Cairo;x;361;295;;
296;52;120;255;Gaza;x;364;296;;
297;180;122;0;Sinai;x;365;297;;
298;52;124;64;The Canarias;x;366;298;;
299;180;126;128;The Azores;x;367;299;;
300;52;128;192;Madeira;x;368;300;;
301;52;132;0;Reykjavik;x;370;301;;
302;181;134;64;Akureyri;x;371;302;;
303;53;136;128;Tyrone;x;372;303;;
304;53;140;255;Leinster;x;374;304;;
305;181;142;0;Munster;x;375;305;;
306;53;144;64;Novaya Zemlya;x;#;306;Connaught;376
307;181;146;128;Aleppo;x;377;307;;
308;54;148;192;Tripoli;x;378;308;;
309;182;150;255;Jerusalem;x;379;309;;
310;54;152;0;Al Karak;x;380;310;;
311;182;154;64;Ajlun;x;381;311;;
312;54;156;128;Damascus;x;382;312;;
313;182;158;192;Tabuk;x;383;313;;
314;54;32;255;Medina;x;384;314;;
315;183;34;0;Mecca;x;385;315;;
316;55;36;64;Bishah;x;386;316;;
317;183;38;128;Mokha;x;387;317;;
318;55;40;192;Aden;x;388;318;;
319;183;42;255;Mukalla;x;389;319;;
320;55;44;0;Sana'a;x;390;320;;
321;183;46;64;Najran;x;391;321;;
322;56;48;128;Al-Arid;x;392;322;;
323;184;50;192;Jabal Shammar;x;393;323;;
324;56;52;255;El Catif;x;394;324;;
325;56;60;192;Qawasim;x;398;325;;
326;185;62;255;Suhar;x;399;326;;
327;57;64;0;Muscat;x;400;327;;
328;185;66;64;Dhofar;x;401;328;;
329;57;68;128;Mahra;x;402;329;;
330;185;70;192;Nizwa;x;403;330;;
331;57;72;255;Liwa;x;404;331;;
332;185;74;0;Tadmor;x;405;332;;
333;58;76;64;Haditha;x;406;333;;
334;186;78;128;Ar Raqqa;x;407;334;;
335;186;86;64;Mosul;x;411;335;;
336;187;90;192;Lorestan;x;413;336;;
337;59;92;255;Hamadan;x;414;337;;
338;187;94;0;Kirkuk;x;415;338;;
339;59;96;64;Azerbaijan;x;416;339;;
340;187;98;128;Gilan;x;417;340;;
341;59;100;192;Diyarbakir;x;418;341;;
342;187;102;255;Yerevan;x;419;342;;
343;60;140;0;Ganja;x;420;343;;
344;188;106;64;Shirvan;x;421;344;;
345;60;108;128;Imereti;x;422;345;;
346;188;110;192;Kartli;x;423;346;;
347;60;112;255;Ardabil;x;424;347;;
348;188;114;0;Dagestan;x;425;348;;
349;60;116;64;Amol;x;426;349;;
350;189;118;128;Shahrud;x;427;350;;
351;61;120;192;Rey;x;428;351;;
352;189;122;255;Isfahan;x;429;352;;
353;61;124;0;Bushehr;x;430;353;;
354;189;126;64;Hormuz;x;431;354;;
355;61;128;128;Kerman;x;432;355;;
356;189;130;192;Dash-i-Lut;x;433;356;;
357;62;132;255;Quhistan;x;434;357;;
358;190;134;0;Sistan;x;435;358;;
359;62;136;64;Birjand;x;436;359;;
360;190;138;128;Atak;x;437;360;;
361;62;140;192;Kara Kum;x;438;361;;
362;190;142;255;Mangyshlak;x;439;362;;
363;191;146;64;Khiva;x;441;363;;
364;63;148;128;Bukhara;x;442;364;;
365;191;150;192;Ust Yurt;x;443;365;;
366;63;152;255;Charjuy;x;444;366;;
367;191;154;0;Marv;x;445;367;;
368;63;156;64;Herat;x;446;368;;
369;191;158;128;Kandahar;x;447;369;;
370;64;32;192;Gazni;x;448;370;;
371;192;34;255;Ghor;x;449;371;;
372;64;36;0;Balkh;x;450;372;;
373;192;38;64;Kabul;x;451;373;;
374;64;40;128;Badakhshan;x;452;374;;
375;192;42;192;Qarshi;x;453;375;;
376;64;44;255;Samarkand;x;454;376;;
377;193;46;0;Kyrzyl-Kum Desert;x;455;377;;
378;65;48;64;Turkestan;x;456;378;;
379;193;50;128;Tashkent;x;457;379;;
380;65;52;192;Kokand;x;458;380;;
381;193;54;255;Taraz;x;459;381;;
382;65;56;0;Uzkend;x;460;382;;
383;193;58;64;Zhetysu;x;461;383;;
384;66;60;128;Mingrelia;x;462;384;;
385;194;62;192;Circassia;x;463;385;;
386;194;70;128;Borisoglebsk;x;467;386;;
387;66;72;192;Khazaria;x;468;387;;
388;195;78;64;Alimuly;x;471;388;;
389;67;80;128;Zhetyru;x;472;389;;
390;67;84;255;Yaik;x;474;390;;
391;195;86;0;Bashkortostan;x;475;391;;
392;68;88;64;Kypshak;x;476;392;;
393;196;90;128;Nadym;x;477;393;;
394;68;92;192;Argyn;x;478;394;;
395;196;94;255;Kerey;x;479;395;;
396;68;96;0;Kulunda;x;480;396;;
397;69;104;255;Havana;x;484;397;;
398;69;108;64;Guantamano;x;486;398;;
399;197;110;128;Jamaica;x;487;399;;
400;69;112;192;Les Cayes;x;488;400;;
401;197;114;255;Tortuga;x;489;401;;
402;70;116;0;Barahonas;x;490;402;;
403;70;120;128;Puerto Rico;x;492;403;;
404;198;122;192;St. Thomas;x;493;404;;
405;70;124;255;St. Martin;x;494;405;;
406;198;126;0;St. Kitts;x;495;406;;
407;70;128;64;Antigua;x;496;407;;
408;199;130;128;Guadelopue;x;497;408;;
409;71;132;192;Dominica;x;498;409;;
410;199;134;255;Martinique;x;499;410;;
411;71;136;0;St. Lucia;x;500;411;;
412;199;138;64;Barbados;x;501;412;;
413;71;140;128;Trinidad;x;502;413;;
414;199;142;192;Kutch;x;503;414;;
415;72;148;64;Multan;x;506;415;;
416;200;150;128;Lahore;x;507;416;;
417;72;152;192;Kashmir;x;508;417;;
418;200;154;255;Kangra;x;509;418;;
419;72;156;0;Sirhind;x;510;419;;
420;201;158;64;Garhwal;x;511;420;;
421;73;32;128;Jangladesh;x;512;421;;
422;201;34;192;Jaisalmer;x;513;422;;
423;73;36;255;Marwar;x;514;423;;
424;201;38;0;Girnar;x;515;424;;
425;73;40;64;Baroda;x;516;425;;
426;74;44;192;Chittorgarh;x;518;426;;
427;202;46;255;Dundhar;x;519;427;;
428;74;48;0;Mewat;x;520;428;;
429;202;50;64;Rajkot;x;521;429;;
430;74;52;128;Delhi;x;522;430;;
431;202;54;192;Oudh;x;523;431;;
432;74;56;255;Central Doab;x;524;432;;
433;203;58;0;Gird;x;525;433;;
434;75;60;64;Mandu;x;526;434;;
435;203;62;128;Khandesh;x;527;435;;
436;75;64;192;Hadoti;x;528;436;;
437;203;66;255;North Konkan;x;529;437;;
438;75;68;0;South Konkan;x;530;438;;
439;76;72;128;Raichur Doab;x;532;439;;
440;204;74;192;Mysore;x;533;440;;
441;76;80;64;Madurai;x;536;441;;
442;204;82;128;Venad;x;537;442;;
443;76;84;192;Kongu;x;538;443;;
444;205;90;64;Vijayanagar;x;541;444;;
445;77;92;128;Golconda;x;542;445;;
446;77;96;255;Ahmadnagar;x;544;446;;
447;205;98;0;Marathwada;x;545;447;;
448;78;100;64;East Berar;x;546;448;;
449;206;102;128;Bastar;x;547;449;;
450;78;104;192;West Berar;x;548;450;;
451;206;106;255;Kalingandhra;x;549;451;;
452;78;108;0;Mahakoshal;x;550;452;;
453;206;110;64;Mandla;x;551;453;;
454;207;114;192;Sambalpur;x;553;454;;
455;79;116;255;Baisi Rayja;x;554;455;;
456;79;120;64;Lower Doab;x;556;456;;
457;207;122;128;Katmandu;x;557;457;;
458;207;126;255;Bundelkhand;x;559;458;;
459;80;128;0;Jharkand;x;560;459;;
460;80;132;128;Koch;x;562;460;;
461;208;138;0;Bhutan;x;565;461;;
462;80;140;64;Assam;x;566;462;;
463;81;144;192;Chittagong;x;568;463;;
464;209;146;255;Bijapur;x;569;464;;
465;81;148;0;Naga;x;570;465;;
466;209;150;64;Darrang;x;571;466;;
467;81;152;128;Kotte;x;572;467;;
468;209;154;192;Kachar;x;573;468;;
469;82;156;255;The Andamans;x;574;469;;
470;210;158;0;Eastern Makran;x;575;470;;
471;82;32;64;Indus;x;576;471;;
472;210;34;128;Quetta;x;577;472;;
473;82;36;192;Khyber;x;578;473;;
474;210;38;255;Arakan;x;579;474;;
475;82;40;0;Chin;x;580;475;;
476;211;42;64;Sagaing;x;581;476;;
477;83;44;128;Kachin;x;582;477;;
478;211;46;192;Hsenwi;x;583;478;;
479;83;48;255;Kyuakse;x;584;479;;
480;211;50;0;Toungoo;x;585;480;;
481;83;52;64;Pegu;x;586;481;;
482;211;54;128;Keng Tung;x;587;482;;
483;84;56;192;Mongnai;x;588;483;;
484;212;58;255;Chiang Mai;x;589;484;;
485;212;62;64;Tenasserim;x;591;485;;
486;84;64;128;Ratchaburi;x;592;486;;
487;212;66;192;Ligore;x;593;487;;
488;213;70;0;Perak;x;595;488;;
489;213;74;128;Johor;x;597;489;;
490;85;76;192;Pahang;x;598;490;;
491;213;78;255;Kelantan;x;599;491;;
492;213;82;64;Sukthothai;x;601;492;;
493;86;84;128;Chian Rai;x;602;493;;
494;214;86;192;Rayong;x;603;494;;
495;86;88;255;Udong;x;604;495;;
496;214;90;0;;x;2375;496;Prei Nokoi;605
497;86;92;64;Panduranga;x;606;497;;
498;214;94;128;Vijaya;x;607;498;;
499;86;96;192;Champassak;x;608;499;;
500;215;98;255;Siem Reap;x;609;500;;
501;87;100;0;Binh Tri Thien;x;610;501;;
502;215;102;64;Thakhek;x;611;502;;
503;87;104;128;Khorat;x;612;503;;
504;87;108;255;Vientiane;x;614;504;;
505;215;110;0;Luang Prabang;x;615;505;;
506;88;112;64;Viet Bac;x;616;506;;
507;216;114;128;Aceh;x;617;507;;
508;88;116;192;Aru;x;618;508;;
509;216;118;255;Minangkabau;x;619;509;;
510;216;122;64;Benkulen;x;621;510;;
511;217;126;192;Lampung;x;623;511;;
512;89;128;255;Banten;x;624;512;;
513;217;130;0;Priangan;x;625;513;;
514;217;134;128;Blambangan;x;627;514;;
515;218;142;64;Bali-Lombok;x;631;515;;
516;90;144;128;Sumbawa;x;632;516;;
517;218;146;192;Flores;x;633;517;;
518;90;148;255;Sumba;x;634;518;;
519;218;150;0;Timor;x;635;519;;
520;90;152;64;Brunei;x;636;520;;
521;219;154;128;Sabah;x;637;521;;
522;91;156;192;Kutei;x;638;522;;
523;219;158;255;Banjarmasin;x;639;523;;
524;91;32;0;Sukadane;x;640;524;;
525;219;34;64;Makassar;x;641;525;;
526;91;36;128;Bone;x;642;526;;
527;219;38;192;Pose;x;643;527;;
528;92;40;255;Menade;x;644;528;;
529;220;42;0;Buru;x;645;529;;
530;92;44;64;Ambom;x;646;530;;
531;220;46;128;Ceram;x;647;531;;
532;92;48;192;Halmahera;x;648;532;;
533;220;50;255;Ternate;x;649;533;;
534;92;52;0;Tidore;x;650;534;;
535;221;54;64;Sulu;x;651;535;;
536;93;56;128;Maguindanae;x;652;536;;
537;221;58;192;Tagoloan;x;653;537;;
538;93;60;255;Samar;x;654;538;;
539;221;62;0;Palawan;x;655;539;;
540;221;66;128;Samtoy;x;657;540;;
541;94;68;192;Cagayan;x;658;541;;
542;94;72;0;Xishuan Banna;x;660;542;;
543;222;74;64;Dali;x;661;543;;
544;94;76;128;Yunnan;x;662;544;;
545;222;78;192;Wenshan;x;663;545;;
546;94;80;255;Guangxi;x;664;546;;
547;223;82;0;Shiuhing;x;665;547;;
548;223;90;255;Fuzhou;x;669;548;;
549;95;92;0;Ganzhou;x;670;549;;
550;223;94;64;Changsha;x;671;550;;
551;96;96;128;Chenzhou;x;672;551;;
552;224;98;192;Bozhou;x;673;552;;
553;96;100;255;Guiyang;x;674;553;;
554;224;102;0;Liangshan;x;675;554;;
555;96;104;64;U-Tsang;x;676;555;;
556;224;106;128;Qamdo;x;677;556;;
557;96;108;192;Kham;x;678;557;;
558;225;110;255;Sichuan Pendi;x;679;558;;
559;97;112;0;Shenquing;x;680;559;;
560;225;114;64;Yichuan;x;681;560;;
561;97;116;128;Hanyang;x;682;561;;
562;225;118;192;Nanchang;x;683;562;;
563;97;120;255;Hangzhou;x;684;563;;
564;226;126;128;Running;x;687;564;;
565;226;130;255;Fengyuan;x;689;565;;
566;98;132;0;Shandong Bandao;x;690;566;;
567;226;134;64;Jinan;x;691;567;;
568;98;136;128;Handan;x;692;568;;
569;227;138;192;Sanguan;x;693;569;;
570;99;140;255;Changzhi;x;694;570;;
571;99;144;64;Xuan Fu;x;696;571;;
572;227;146;128;Datong;x;697;572;;
573;99;148;192;Guyuan;x;698;573;;
574;227;150;255;Lanzhou;x;699;574;;
575;100;152;0;Shaanxi;x;700;575;;
576;228;154;64;Ordos;x;701;576;;
577;100;156;128;Ulaanchab;x;702;577;;
578;228;158;192;Chengde;x;703;578;;
579;100;32;255;Liaoxi;x;704;579;;
580;228;34;0;Dangla;x;705;580;;
581;100;36;64;Amdo;x;706;581;;
582;229;38;128;Yumen;x;707;582;;
583;101;40;192;Gansu;x;708;583;;
584;229;42;255;Ningxia;x;709;584;;
585;101;44;0;Hotan;x;710;585;;
586;229;46;64;Qarqan;x;711;586;;
587;101;48;128;Uighuristan;x;712;587;;
588;229;50;192;Kuruk Tag;x;713;588;;
589;102;52;255;Dzungaria;x;714;589;;
590;230;54;0;Urumqi;x;715;590;;
591;102;56;64;Tannu Tuva;x;716;591;;
592;230;58;128;Selenge;x;717;592;;
593;102;60;192;Govi Altay;x;718;593;;
594;230;62;255;Khangai;x;719;594;;
595;102;64;0;Dorno Govi;x;720;595;;
596;231;66;64;Dornod;x;721;596;;
597;103;68;128;Chahar;x;722;597;;
598;231;70;192;Xilin Gol;x;723;598;;
599;103;72;255;Yakesa;x;724;599;;
600;231;74;0;Hinggan;x;725;600;;
601;103;76;64;Liaodong;x;726;601;;
602;231;78;128;Heilongjiang;x;727;602;;
603;104;80;192;Sanxing;x;728;603;;
604;232;82;255;Wusuli;x;729;604;;
605;104;84;0;Haixi;x;730;605;;
606;232;86;64;Ninguta;x;731;606;;
607;104;88;128;Hamheung;x;732;607;;
608;232;90;192;Hwangju;x;733;608;;
609;104;92;255;Gangwon;x;734;609;;
610;153;134;173;Hanseong;x;735;610;;
611;217;164;164;Sangju;x;736;611;;
612;233;98;128;Jeonju;x;737;612;;
613;105;100;192;Taiwan;x;738;613;;
614;233;102;255;Kashgar;x;739;614;;
615;105;104;0;Chanderi;x;740;615;;
616;233;106;64;Cumana;x;741;616;;
617;106;108;128;Guayana;x;742;617;;
618;234;110;192;Essequibo;x;743;618;;
619;106;112;255;Demerara;x;744;619;;
620;106;116;64;Cayenne;x;746;620;;
621;234;118;128;Tucujulandia;x;747;621;;
622;106;120;192;Grao Para;x;748;622;;
623;107;124;0;Crato;x;750;623;;
624;235;126;64;Ceara;x;751;624;;
625;107;128;128;Oeiras;x;752;625;;
626;235;130;192;Rio Grande;x;753;626;;
627;107;132;255;Itamaraca;x;754;627;;
628;235;134;0;Pernambuco;x;755;628;;
629;108;136;64;Bahia;x;756;629;;
630;236;138;128;Ilheus;x;757;630;;
631;108;140;192;Goias;x;758;631;;
632;236;142;255;Diamantina;x;759;632;;
633;108;144;0;Porto Seguro;x;760;633;;
634;236;146;64;Espirito Santo;x;761;634;;
635;108;148;128;Sao Tome;x;762;635;;
636;237;150;192;Rio de Janeiro;x;763;636;;
637;109;152;255;Santo Amaro;x;764;637;;
638;237;154;0;Santa Luzia;x;765;638;;
